<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,20010104,050300,113.78,113.78,113.78,113.78,4
USDJPY,20010104,050400,113.78,113.79,113.78,113.79,4
USDJPY,20010104,050500,113.79,113.80,113.79,113.80,4
USDJPY,20010104,050600,113.80,113.80,113.79,113.79,4
USDJPY,20010104,050700,113.79,113.79,113.79,113.79,4
USDJPY,20010104,050800,113.79,113.80,113.79,113.80,4
USDJPY,20010104,050900,113.81,113.81,113.81,113.81,4
USDJPY,20010104,051000,113.81,113.81,113.81,113.81,4
USDJPY,20010104,051100,113.81,113.81,113.81,113.81,4
USDJPY,20010104,051200,113.81,113.81,113.81,113.81,4
USDJPY,20010104,051300,113.81,113.81,113.81,113.81,4
USDJPY,20010104,051400,113.81,113.81,113.81,113.81,4
USDJPY,20010104,051500,113.81,113.81,113.81,113.81,4
USDJPY,20010104,051600,113.81,113.81,113.81,113.81,4
USDJPY,20010104,051700,113.81,113.81,113.81,113.81,4
USDJPY,20010104,051800,113.81,113.83,113.81,113.83,4
USDJPY,20010104,051900,113.83,113.83,113.82,113.82,4
USDJPY,20010104,052000,113.83,113.83,113.82,113.83,4
USDJPY,20010104,052100,113.83,113.83,113.83,113.83,4
USDJPY,20010104,052200,113.82,113.82,113.82,113.82,4
USDJPY,20010104,052300,113.82,113.82,113.81,113.81,4
USDJPY,20010104,052400,113.81,113.81,113.81,113.81,4
USDJPY,20010104,052500,113.81,113.83,113.81,113.83,4
USDJPY,20010104,052600,113.83,113.83,113.83,113.83,4
USDJPY,20010104,052700,113.83,113.83,113.83,113.83,4
USDJPY,20010104,052800,113.83,113.83,113.83,113.83,4
USDJPY,20010104,052900,113.83,113.83,113.83,113.83,4
USDJPY,20010104,053000,113.83,113.83,113.82,113.83,4
USDJPY,20010104,053100,113.83,113.84,113.83,113.84,4
USDJPY,20010104,053200,113.84,113.84,113.83,113.83,4
USDJPY,20010104,053300,113.83,113.83,113.83,113.83,4
USDJPY,20010104,053400,113.84,113.84,113.84,113.84,4
USDJPY,20010104,053500,113.85,113.85,113.85,113.85,4
USDJPY,20010104,053600,113.85,113.85,113.84,113.85,4
USDJPY,20010104,053700,113.84,113.84,113.83,113.83,4
USDJPY,20010104,053800,113.83,113.85,113.83,113.85,4
USDJPY,20010104,053900,113.84,113.85,113.83,113.84,4
USDJPY,20010104,054000,113.85,113.85,113.85,113.85,4
USDJPY,20010104,054100,113.85,113.85,113.85,113.85,4
USDJPY,20010104,054200,113.85,113.86,113.85,113.86,4
USDJPY,20010104,054300,113.86,113.86,113.86,113.86,4
USDJPY,20010104,054400,113.86,113.86,113.84,113.84,4
USDJPY,20010104,054500,113.84,113.84,113.84,113.84,4
USDJPY,20010104,054600,113.84,113.84,113.84,113.84,4
USDJPY,20010104,054700,113.84,113.84,113.83,113.84,4
USDJPY,20010104,054800,113.83,113.83,113.83,113.83,4
USDJPY,20010104,054900,113.83,113.84,113.83,113.84,4
USDJPY,20010104,055000,113.84,113.84,113.84,113.84,4
USDJPY,20010104,055100,113.84,113.84,113.84,113.84,4
USDJPY,20010104,055200,113.84,113.84,113.84,113.84,4
USDJPY,20010104,055300,113.84,113.84,113.84,113.84,4
USDJPY,20010104,055400,113.83,113.83,113.83,113.83,4
USDJPY,20010104,055500,113.82,113.82,113.81,113.82,4
USDJPY,20010104,055600,113.82,113.82,113.81,113.81,4
USDJPY,20010104,055700,113.81,113.81,113.81,113.81,4
USDJPY,20010104,055800,113.79,113.79,113.78,113.78,4
USDJPY,20010104,055900,113.78,113.78,113.76,113.78,4
USDJPY,20010104,060000,113.78,113.78,113.78,113.78,4
USDJPY,20010104,060100,113.78,113.80,113.78,113.79,4
USDJPY,20010104,060200,113.79,113.79,113.79,113.79,4
USDJPY,20010104,060300,113.78,113.79,113.78,113.78,4
USDJPY,20010104,060400,113.78,113.78,113.78,113.78,4
USDJPY,20010104,060500,113.79,113.79,113.79,113.79,4
USDJPY,20010104,060600,113.79,113.79,113.79,113.79,4
USDJPY,20010104,060700,113.79,113.79,113.78,113.78,4
USDJPY,20010104,060800,113.78,113.79,113.78,113.79,4
USDJPY,20010104,060900,113.79,113.79,113.78,113.78,4
USDJPY,20010104,061000,113.78,113.78,113.78,113.78,4
USDJPY,20010104,061100,113.78,113.78,113.78,113.78,4
USDJPY,20010104,061200,113.78,113.78,113.78,113.78,4
USDJPY,20010104,061300,113.78,113.78,113.78,113.78,4
USDJPY,20010104,061400,113.78,113.78,113.76,113.76,4
USDJPY,20010104,061500,113.76,113.76,113.75,113.75,4
USDJPY,20010104,061600,113.75,113.75,113.75,113.75,4
USDJPY,20010104,061700,113.75,113.75,113.75,113.75,4
USDJPY,20010104,061800,113.75,113.75,113.75,113.75,4
USDJPY,20010104,061900,113.75,113.75,113.75,113.75,4
USDJPY,20010104,062000,113.75,113.75,113.75,113.75,4
USDJPY,20010104,062100,113.76,113.76,113.76,113.76,4
USDJPY,20010104,062200,113.76,113.76,113.76,113.76,4
USDJPY,20010104,062300,113.76,113.76,113.75,113.76,4
USDJPY,20010104,062400,113.76,113.79,113.76,113.79,4
USDJPY,20010104,062500,113.79,113.79,113.78,113.78,4
USDJPY,20010104,062600,113.78,113.81,113.78,113.81,4
USDJPY,20010104,062700,113.79,113.81,113.79,113.81,4
USDJPY,20010104,062800,113.81,113.81,113.81,113.81,4
USDJPY,20010104,062900,113.81,113.81,113.81,113.81,4
USDJPY,20010104,063000,113.81,113.82,113.81,113.82,4
USDJPY,20010104,063100,113.82,113.82,113.82,113.82,4
USDJPY,20010104,063200,113.83,113.83,113.83,113.83,4
USDJPY,20010104,063300,113.83,113.83,113.83,113.83,4
USDJPY,20010104,063400,113.83,113.83,113.83,113.83,4
USDJPY,20010104,063500,113.82,113.82,113.81,113.81,4
USDJPY,20010104,063600,113.81,113.81,113.81,113.81,4
USDJPY,20010104,063700,113.81,113.81,113.79,113.79,4
USDJPY,20010104,063800,113.79,113.79,113.79,113.79,4
USDJPY,20010104,063900,113.79,113.80,113.79,113.79,4
USDJPY,20010104,064000,113.78,113.78,113.78,113.78,4
USDJPY,20010104,064100,113.78,113.78,113.78,113.78,4
USDJPY,20010104,064200,113.78,113.78,113.78,113.78,4
USDJPY,20010104,064300,113.78,113.78,113.75,113.75,4
USDJPY,20010104,064400,113.75,113.75,113.75,113.75,4
USDJPY,20010104,064500,113.75,113.75,113.75,113.75,4
USDJPY,20010104,064600,113.75,113.75,113.72,113.72,4
USDJPY,20010104,064700,113.72,113.72,113.69,113.69,4
USDJPY,20010104,064800,113.69,113.70,113.69,113.70,4
USDJPY,20010104,064900,113.70,113.70,113.70,113.70,4
USDJPY,20010104,065000,113.70,113.70,113.70,113.70,4
USDJPY,20010104,065100,113.70,113.70,113.70,113.70,4
USDJPY,20010104,065200,113.70,113.72,113.70,113.72,4
USDJPY,20010104,065300,113.72,113.75,113.72,113.75,4
USDJPY,20010104,065400,113.75,113.78,113.75,113.77,4
USDJPY,20010104,065500,113.78,113.81,113.77,113.81,4
USDJPY,20010104,065600,113.79,113.82,113.79,113.82,4
USDJPY,20010104,065700,113.82,113.83,113.82,113.82,4
USDJPY,20010104,065800,113.82,113.84,113.82,113.84,4
USDJPY,20010104,065900,113.84,113.84,113.84,113.84,4
USDJPY,20010104,070000,113.84,113.84,113.84,113.84,4
USDJPY,20010104,070100,113.82,113.83,113.82,113.83,4
USDJPY,20010104,070200,113.82,113.83,113.82,113.83,4
USDJPY,20010104,070300,113.83,113.83,113.82,113.82,4
USDJPY,20010104,070400,113.81,113.83,113.81,113.83,4
USDJPY,20010104,070500,113.82,113.83,113.82,113.83,4
USDJPY,20010104,070700,113.81,113.81,113.79,113.79,4
USDJPY,20010104,070800,113.79,113.79,113.78,113.78,4
USDJPY,20010104,070900,113.79,113.81,113.79,113.81,4
USDJPY,20010104,071000,113.81,113.81,113.81,113.81,4
USDJPY,20010104,071100,113.81,113.85,113.80,113.85,4
USDJPY,20010104,071200,113.84,113.86,113.84,113.84,4
USDJPY,20010104,071300,113.83,113.86,113.83,113.86,4
USDJPY,20010104,071400,113.85,113.85,113.84,113.85,4
USDJPY,20010104,071500,113.88,113.89,113.86,113.89,4
USDJPY,20010104,071600,113.90,113.90,113.86,113.88,4
USDJPY,20010104,071700,113.88,113.94,113.88,113.94,4
USDJPY,20010104,071800,113.94,113.94,113.93,113.94,4
USDJPY,20010104,071900,113.94,113.94,113.92,113.92,4
USDJPY,20010104,072000,113.93,113.93,113.91,113.91,4
USDJPY,20010104,072100,113.90,113.90,113.88,113.88,4
USDJPY,20010104,072200,113.89,113.93,113.89,113.93,4
USDJPY,20010104,072300,113.93,113.94,113.91,113.91,4
USDJPY,20010104,072400,113.92,113.92,113.90,113.90,4
USDJPY,20010104,072500,113.91,113.91,113.89,113.90,4
USDJPY,20010104,072600,113.89,113.91,113.89,113.91,4
USDJPY,20010104,072700,113.90,113.90,113.88,113.89,4
USDJPY,20010104,072800,113.89,113.89,113.86,113.86,4
USDJPY,20010104,072900,113.86,113.87,113.86,113.86,4
USDJPY,20010104,073000,113.86,113.87,113.84,113.85,4
USDJPY,20010104,073100,113.86,113.86,113.85,113.86,4
USDJPY,20010104,073200,113.86,113.86,113.85,113.86,4
USDJPY,20010104,073300,113.86,113.86,113.86,113.86,4
USDJPY,20010104,073400,113.85,113.86,113.84,113.86,4
USDJPY,20010104,073500,113.85,113.89,113.85,113.89,4
USDJPY,20010104,073600,113.88,113.91,113.88,113.91,4
USDJPY,20010104,073700,113.92,113.92,113.90,113.92,4
USDJPY,20010104,073800,113.91,113.91,113.90,113.90,4
USDJPY,20010104,073900,113.89,113.90,113.87,113.89,4
USDJPY,20010104,074000,113.90,113.90,113.89,113.89,4
USDJPY,20010104,074100,113.89,113.89,113.86,113.86,4
USDJPY,20010104,074200,113.85,113.89,113.85,113.89,4
USDJPY,20010104,074300,113.89,113.92,113.89,113.92,4
USDJPY,20010104,074400,113.92,113.92,113.91,113.91,4
USDJPY,20010104,074500,113.90,113.90,113.88,113.88,4
USDJPY,20010104,074600,113.88,113.89,113.86,113.87,4
USDJPY,20010104,074700,113.87,113.87,113.84,113.84,4
USDJPY,20010104,074800,113.85,113.87,113.85,113.86,4
USDJPY,20010104,074900,113.86,113.86,113.82,113.82,4
USDJPY,20010104,075000,113.82,113.84,113.82,113.84,4
USDJPY,20010104,075100,113.85,113.86,113.84,113.86,4
USDJPY,20010104,075200,113.87,113.90,113.87,113.90,4
USDJPY,20010104,075300,113.90,113.90,113.89,113.90,4
USDJPY,20010104,075400,113.89,113.92,113.88,113.92,4
USDJPY,20010104,075500,113.92,113.98,113.92,113.98,4
USDJPY,20010104,075600,113.99,114.03,113.98,114.02,4
USDJPY,20010104,075700,114.01,114.16,114.01,114.13,4
USDJPY,20010104,075800,114.14,114.15,114.11,114.14,4
USDJPY,20010104,075900,114.13,114.13,114.11,114.12,4
USDJPY,20010104,080000,114.11,114.13,114.10,114.13,4
USDJPY,20010104,080100,114.11,114.11,114.08,114.10,4
USDJPY,20010104,080200,114.11,114.12,114.10,114.11,4
USDJPY,20010104,080300,114.12,114.16,114.12,114.16,4
USDJPY,20010104,080400,114.18,114.26,114.18,114.26,4
USDJPY,20010104,080500,114.27,114.39,114.27,114.39,4
USDJPY,20010104,080600,114.38,114.39,114.28,114.28,4
USDJPY,20010104,080700,114.29,114.30,114.27,114.28,4
USDJPY,20010104,080800,114.28,114.28,114.25,114.25,4
USDJPY,20010104,080900,114.24,114.24,114.19,114.19,4
USDJPY,20010104,081000,114.18,114.20,114.18,114.18,4
USDJPY,20010104,081100,114.19,114.19,114.17,114.17,4
USDJPY,20010104,081200,114.18,114.21,114.18,114.21,4
USDJPY,20010104,081300,114.22,114.29,114.22,114.29,4
USDJPY,20010104,081400,114.34,114.35,114.29,114.29,4
USDJPY,20010104,081500,114.28,114.30,114.24,114.29,4
USDJPY,20010104,081600,114.29,114.31,114.26,114.31,4
USDJPY,20010104,081700,114.30,114.32,114.29,114.29,4
USDJPY,20010104,081800,114.30,114.30,114.26,114.26,4
USDJPY,20010104,081900,114.25,114.28,114.25,114.28,4
USDJPY,20010104,082000,114.27,114.27,114.25,114.26,4
USDJPY,20010104,082100,114.25,114.28,114.25,114.28,4
USDJPY,20010104,082200,114.28,114.28,114.25,114.25,4
USDJPY,20010104,082300,114.25,114.28,114.24,114.27,4
USDJPY,20010104,082400,114.28,114.28,114.25,114.25,4
USDJPY,20010104,082500,114.25,114.28,114.25,114.28,4
USDJPY,20010104,082600,114.29,114.31,114.27,114.31,4
USDJPY,20010104,082700,114.30,114.33,114.29,114.33,4
USDJPY,20010104,082800,114.33,114.33,114.32,114.33,4
USDJPY,20010104,082900,114.32,114.34,114.29,114.34,4
USDJPY,20010104,083000,114.34,114.39,114.34,114.39,4
USDJPY,20010104,083100,114.39,114.40,114.38,114.40,4
USDJPY,20010104,083200,114.40,114.42,114.39,114.41,4
USDJPY,20010104,083300,114.41,114.48,114.41,114.46,4
USDJPY,20010104,083400,114.47,114.47,114.44,114.45,4
USDJPY,20010104,083500,114.45,114.45,114.42,114.44,4
USDJPY,20010104,083600,114.42,114.44,114.42,114.44,4
USDJPY,20010104,083700,114.44,114.45,114.43,114.44,4
USDJPY,20010104,083800,114.45,114.47,114.44,114.44,4
USDJPY,20010104,083900,114.44,114.44,114.42,114.44,4
USDJPY,20010104,084000,114.45,114.46,114.44,114.44,4
USDJPY,20010104,084100,114.44,114.49,114.44,114.49,4
USDJPY,20010104,084200,114.48,114.54,114.48,114.53,4
USDJPY,20010104,084300,114.53,114.53,114.50,114.50,4
USDJPY,20010104,084400,114.49,114.53,114.49,114.53,4
USDJPY,20010104,084500,114.53,114.56,114.52,114.56,4
USDJPY,20010104,084600,114.58,114.58,114.56,114.58,4
USDJPY,20010104,084700,114.58,114.58,114.53,114.53,4
USDJPY,20010104,084800,114.53,114.53,114.49,114.49,4
USDJPY,20010104,084900,114.48,114.50,114.48,114.50,4
USDJPY,20010104,085000,114.50,114.50,114.49,114.50,4
USDJPY,20010104,085100,114.51,114.51,114.50,114.50,4
USDJPY,20010104,085200,114.50,114.50,114.48,114.50,4
USDJPY,20010104,085300,114.52,114.56,114.50,114.56,4
USDJPY,20010104,085400,114.55,114.56,114.54,114.54,4
USDJPY,20010104,085500,114.55,114.62,114.55,114.61,4
USDJPY,20010104,085600,114.61,114.61,114.61,114.61,4
USDJPY,20010104,085700,114.60,114.61,114.57,114.61,4
USDJPY,20010104,085800,114.61,114.61,114.59,114.60,4
USDJPY,20010104,085900,114.59,114.60,114.58,114.60,4
USDJPY,20010104,090000,114.59,114.61,114.59,114.59,4
USDJPY,20010104,090100,114.58,114.59,114.56,114.58,4
USDJPY,20010104,090200,114.58,114.58,114.57,114.58,4
USDJPY,20010104,090300,114.58,114.60,114.58,114.58,4
USDJPY,20010104,090400,114.59,114.62,114.59,114.61,4
USDJPY,20010104,090500,114.63,114.64,114.59,114.59,4
USDJPY,20010104,090600,114.60,114.60,114.57,114.57,4
USDJPY,20010104,090700,114.56,114.63,114.55,114.63,4
USDJPY,20010104,090800,114.64,114.64,114.61,114.61,4
USDJPY,20010104,090900,114.61,114.67,114.60,114.67,4
USDJPY,20010104,091000,114.66,114.67,114.65,114.67,4
USDJPY,20010104,091100,114.66,114.67,114.65,114.67,4
USDJPY,20010104,091200,114.66,114.66,114.62,114.62,4
USDJPY,20010104,091300,114.64,114.64,114.61,114.64,4
USDJPY,20010104,091400,114.64,114.64,114.62,114.64,4
USDJPY,20010104,091500,114.64,114.64,114.64,114.64,4
USDJPY,20010104,091600,114.64,114.64,114.63,114.63,4
USDJPY,20010104,091700,114.63,114.64,114.62,114.62,4
USDJPY,20010104,091800,114.61,114.62,114.61,114.62,4
USDJPY,20010104,091900,114.62,114.62,114.60,114.60,4
USDJPY,20010104,092000,114.61,114.61,114.61,114.61,4
USDJPY,20010104,092100,114.61,114.61,114.59,114.61,4
USDJPY,20010104,092200,114.61,114.61,114.59,114.61,4
USDJPY,20010104,092300,114.61,114.61,114.60,114.60,4
USDJPY,20010104,092400,114.61,114.61,114.59,114.60,4
USDJPY,20010104,092500,114.61,114.61,114.61,114.61,4
USDJPY,20010104,092600,114.62,114.62,114.60,114.60,4
USDJPY,20010104,092700,114.61,114.61,114.60,114.60,4
USDJPY,20010104,092800,114.59,114.59,114.56,114.56,4
USDJPY,20010104,092900,114.54,114.54,114.51,114.51,4
USDJPY,20010104,093000,114.51,114.51,114.49,114.49,4
USDJPY,20010104,093100,114.48,114.50,114.48,114.50,4
USDJPY,20010104,093200,114.50,114.50,114.46,114.46,4
USDJPY,20010104,093300,114.45,114.47,114.42,114.42,4
USDJPY,20010104,093400,114.43,114.43,114.39,114.39,4
USDJPY,20010104,093500,114.40,114.40,114.36,114.36,4
USDJPY,20010104,093600,114.37,114.37,114.28,114.28,4
USDJPY,20010104,093700,114.30,114.31,114.29,114.30,4
USDJPY,20010104,093800,114.31,114.32,114.31,114.32,4
USDJPY,20010104,093900,114.32,114.33,114.31,114.31,4
USDJPY,20010104,094000,114.31,114.31,114.31,114.31,4
USDJPY,20010104,094100,114.30,114.31,114.29,114.31,4
USDJPY,20010104,094200,114.32,114.33,114.30,114.33,4
USDJPY,20010104,094300,114.32,114.33,114.31,114.33,4
USDJPY,20010104,094400,114.33,114.33,114.31,114.31,4
USDJPY,20010104,094500,114.31,114.33,114.31,114.32,4
USDJPY,20010104,094600,114.33,114.33,114.31,114.31,4
USDJPY,20010104,094700,114.31,114.32,114.31,114.31,4
USDJPY,20010104,094800,114.31,114.33,114.31,114.32,4
USDJPY,20010104,094900,114.33,114.33,114.29,114.29,4
USDJPY,20010104,095000,114.30,114.31,114.29,114.30,4
USDJPY,20010104,095100,114.31,114.31,114.26,114.26,4
USDJPY,20010104,095200,114.26,114.26,114.26,114.26,4
